read_code,read_term,QOF,cat2,cat1
1465.,H/O: depression,No,Depression,comorbidities
212S.,Depression resolved,No,Depression,comorbidities
8BK0.,Depression management programme,No,Depression,comorbidities
8CAa.,Patient given advice about management of depression,No,Depression,comorbidities
8HHq.,Referral for guided self-help for depression,No,Depression,comorbidities
9H90.,Depression annual review,No,Depression,comorbidities
9H91.,Depression medication review,No,Depression,comorbidities
9H92.,Depression interim review,No,Depression,comorbidities
9HA0.,On depression register,No,Depression,comorbidities
9k4..,Depression - enhanced services administration,No,Depression,comorbidities
9k40.,Depression - enhanced service completed,No,Depression,comorbidities
9kQ..,On full dose long term treatment depression - enh serv admin,No,Depression,comorbidities
9Ov..,Depression monitoring administration,No,Depression,comorbidities
9Ov0.,Depression monitoring first letter,No,Depression,comorbidities
9Ov1.,Depression monitoring second letter,No,Depression,comorbidities
9Ov2.,Depression monitoring third letter,No,Depression,comorbidities
9Ov3.,Depression monitoring verbal invite,No,Depression,comorbidities
9Ov4.,Depression monitoring telephone invite,No,Depression,comorbidities
E0013,Presenile dementia with depression,Yes,Depression,comorbidities
E0021,Senile dementia with depression,Yes,Depression,comorbidities
E0043,Arteriosclerotic dementia with depression,No,Depression,comorbidities
E11..,Depressive psychoses,No,Depression,comorbidities
E112.,Single major depressive episode,Yes,Depression,comorbidities
E1120,"Single major depressive episode, unspecified",Yes,Depression,comorbidities
E1121,"Single major depressive episode, mild",Yes,Depression,comorbidities
E1122,"Single major depressive episode, moderate",Yes,Depression,comorbidities
E1123,"Single major depressive episode, severe, without mention of psychosis",Yes,Depression,comorbidities
E1124,"Single major depressive episode, severe, with psychosis",Yes,Depression,comorbidities
E1125,"Single major depressive episode, in partial or unspecified remission",Yes,Depression,comorbidities
E1126,"Single major depressive episode, in full remission",Yes,Depression,comorbidities
E112z,Single major depressive episode NOS,Yes,Depression,comorbidities
E113.,Recurrent major depressive episode,Yes,Depression,comorbidities
E1130,"Recurrent major depressive episodes, unspecified",Yes,Depression,comorbidities
E1131,"Recurrent major depressive episodes, mild",Yes,Depression,comorbidities
E1132,"Recurrent major depressive episodes, moderate",Yes,Depression,comorbidities
E1133,"Recurrent major depressive episodes, severe, without mention of psychosis",Yes,Depression,comorbidities
E1134,"Recurrent major depressive episodes, severe, with psychosis",Yes,Depression,comorbidities
E1135,"Recurrent major depressive episodes, in partial or unspecified remission",Yes,Depression,comorbidities
E1136,"Recurrent major depressive episodes, in full remission",Yes,Depression,comorbidities
E1137,Recurrent depression,Yes,Depression,comorbidities
E113z,Recurrent major depressive episode NOS,Yes,Depression,comorbidities
E1154,"Bipolar affect disord, now depressed, severe with psychosis",No,Depression,comorbidities
E118.,Seasonal affective disorder,Yes,Depression,comorbidities
E11y2,Atypical depressive disorder,Yes,Depression,comorbidities
E11z2,Masked depression,Yes,Depression,comorbidities
E130.,Reactive depressive psychosis,Yes,Depression,comorbidities
E135.,Agitated depression,Yes,Depression,comorbidities
E2003,Anxiety with depression,Yes,Depression,comorbidities
E2112,Dysthymia,No,Depression,comorbidities
E291.,Prolonged depressive reaction,Yes,Depression,comorbidities
E2B..,Depressive disorder NEC,Yes,Depression,comorbidities
E2B1.,Chronic depression,Yes,Depression,comorbidities
Eu204,[X]Post-schizophrenic depression,Yes,Depression,comorbidities
Eu251,"[X]Schizoaffective disorder, depressive type",Yes,Depression,comorbidities
Eu32.,[X]Depressive episode,Yes,Depression,comorbidities
Eu320,[X]Mild depressive episode,Yes,Depression,comorbidities
Eu321,[X]Moderate depressive episode,Yes,Depression,comorbidities
Eu322,[X]Severe depressive episode without psychotic symptoms,Yes,Depression,comorbidities
Eu323,[X]Severe depressive episode with psychotic symptoms,Yes,Depression,comorbidities
Eu324,[X]Mild depression,Yes,Depression,comorbidities
Eu325,"[X]Major depression, mild",Yes,Depression,comorbidities
Eu326,"[X]Major depression, moderately severe",Yes,Depression,comorbidities
Eu327,"[X]Major depression, severe without psychotic symptoms",Yes,Depression,comorbidities
Eu328,"[X]Major depression, severe with psychotic symptoms",Yes,Depression,comorbidities
Eu329,"[X]Single major depr ep, severe with psych, psych in remiss",No,Depression,comorbidities
Eu32A,"[X]Recurr major depr ep, severe with psych, psych in remiss",No,Depression,comorbidities
Eu32y,[X]Other depressive episodes,Yes,Depression,comorbidities
Eu32z,"[X]Depressive episode, unspecified",Yes,Depression,comorbidities
Eu33.,[X]Recurrent depressive disorder,Yes,Depression,comorbidities
Eu330,"[X]Recurrent depressive disorder, current episode mild",Yes,Depression,comorbidities
Eu331,"[X]Recurrent depressive disorder, current episode moderate",Yes,Depression,comorbidities
Eu332,"[X]Recurrent depressive disorder, current episode severe without psychotic symptoms",Yes,Depression,comorbidities
Eu333,"[X]Recurrent depressive disorder, current episode severe with psychotic symptoms",Yes,Depression,comorbidities
Eu334,"[X]Recurrent depressive disorder, currently in remission",Yes,Depression,comorbidities
Eu33y,[X]Other recurrent depressive disorders,Yes,Depression,comorbidities
Eu33z,"[X]Recurrent depressive disorder, unspecified",Yes,Depression,comorbidities
Eu341,[X]Dysthymia,Yes,Depression,comorbidities
Eu412,[X]Mixed anxiety and depressive disorder,Yes,Depression,comorbidities
Eu413,[X]Other mixed anxiety disorders,No,Depression,comorbidities
X00S8,Post-schizophrenic depression,Yes,Depression,comorbidities
X00Sb,Mixed anxiety and depressive disorder,Yes,Depression,comorbidities
X00SO,Depressive disorder,Yes,Depression,comorbidities
X00SQ,Agitated depression,Yes,Depression,comorbidities
X00SR,Endogenous depression,Yes,Depression,comorbidities
X00SS,Endogenous depression first episode,Yes,Depression,comorbidities
X00SU,Masked depression,Yes,Depression,comorbidities
X761L,Seasonal affective disorder,Yes,Depression,comorbidities
Xa0wV,Recurrent brief depressive disorder,Yes,Depression,comorbidities
XaB9J,Depression NOS,Yes,Depression,comorbidities
XaCHo,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",No,Depression,comorbidities
XaCHr,[X] Single episode agitated depression without psychotic symptoms,Yes,Depression,comorbidities
XaCHs,[X] Single episode major depression without psychotic symptoms,Yes,Depression,comorbidities
XaCIs,Mild depression,Yes,Depression,comorbidities
XaCIt,Moderate depression,Yes,Depression,comorbidities
XaCIu,Severe depression,Yes,Depression,comorbidities
XagU1,"Recurrent reactive depressive episodes, severe, with psychosis",Yes,Depression,comorbidities
XagUK,Prolonged single episode of reactive depression,Yes,Depression,comorbidities
XaX53,"Single major depress ep, severe with psych, psych in remissn",No,Depression,comorbidities
XaX54,"Recurr major depress ep, severe with psych, psych in remissn",No,Depression,comorbidities
XE1aY,Depression: [reactive (neurotic)] or [postnatal],Yes,Depression,comorbidities
